Identification Number,Room Assignment for Day 1,Room Assignment for Day 2,Outlook 1,Outlook 2,Proposal 1,Proposal 2,Proposal 3,Proposal 4,Proposal 5,Proposal 6,Proposal 7,Proposal 8,Proposal 9,Proposal 10,Proposal 11,Proposal 12,Motivations 1,Motivations 2,Motivations 3,Motivations 4,Motivations 5,Motivations 6,Motivations 7,Motivations 8,Motivations 9,Motivations 10,Motivations 11,Motivations 12,Motivations 13,Motivations 14,Motivations 15,Motivations 16,Motivations 17,Motivations 18,Motivations 19,Motivations 20,Motivations 21,Motivations 22,Motivations 23,Motivations 24,Motivations 25,Motivations 26,Motivations 27,Motivations 28,Motivations 29,Motivations 30,Motivations 31,Motivations 32,Motivations 33,Values 1,Values 2,Values 3,Values 4,Values 5,Values 6,Values 7,Values 8,Values 9,Mutual Respect 1,Mutual Respect 2,Mutual Respect 3,Mutual Respect 4,Mutual Respect 5,Mutual Respect 6,Political Efficacy 1,Political Efficacy 2,Political Efficacy 3,Political Efficacy 4,Political Efficacy 5,Political Efficacy 6,Political Efficacy 7,Political Efficacy 8,Knowledge 1,Knowledge 2,Knowledge 3,Knowledge 4,Knowledge 5,Knowledge 6,Knowledge 7,Knowledge 8,Knowledge 9,Knowledge 10,Knowledge 11,Evaluation 1,Evaluation 2,Evaluation 3,Evaluation 4,Evaluation 5,Evaluation 6,Evaluation 7,Evaluation 8,Evaluation 9,View of the Democratic Party,View of the Republican Party,View of Congress,View of the President,Overall,Registered to Vote,Voted Before,Political Party Preference,Independent Party Lean,Democratic Party Loyalty,Republican Party Loyalty,Region,Gender,Race and Ethnicity,Education Category,Enrollment Status,University Type,Employment Status,Household Income Level,Interest in Political Issues (Before Deliberation),Interest in Political Issues (After Deliberation),Interest in Social Issues (Before Deliberation),Interest in Social Issues (After Deliberation),Economic Situation (Before Deliberation),Economic Situation (After Deliberation),Read the News on the Internet,Talked with Others about Politics,Use of Social Media for News,Household Income Level (Scale),Political Ideology (Scale),Political Ideology (Scale) (After Deliberation),Age (Scale)
468,20210501-shapefuture-b-session2-h,20210502-shapefuture-b-session2-f,6,10,6,6,2,8,5,10,0,7,0,7,7,9,7,9,8,6,9,,10,4,7,9,9,9,9,9,9,10,2,8,2,0,9,10,8,2,2,9,9,9,0,0,10,,,8,9,9,9,10,9,7,8,10,5,8,,7,8,7,6,1,8,8,8,9,7,10,1,1,1,1,1,1,0,1,1,1,1,10,6,9,9,10,10,9,10,10,90,10,60,82,,1,1,1,,1,,1,1,3,2,2,1,4,2,2,1,2,1,3,5,8,0,3,2,2,2,
469,20210501-shapefuture-a-session2-n,20210502-shapefuture-a-session2-q,5,8,,5,7,6,6,,4,6,4,7,,,8,7,8,4,8,,6,8,8,8,8,8,7,6,8,10,5,7,4,3,8,6,8,8,,,5,,4,4,8,,,9,8,9,9,7,5,8,6,9,3,4,4,4,4,,8,6,8,8,6,4,5,5,0,0,0,1,0,1,0,0,0,0,0,5,4,4,5,6,5,5,7,6,,,,,,1,1,1,,2,,1,1,4,2,2,2,4,3,3,3,2,2,4,3,1,0,4,3,7,3,
470,20210501-shapefuture-a-session1-q,,7,8,8,9,8,10,8,10,6,8,8,7,8,6,10,10,10,6,10,8,7,7,9,7,9,9,5,7,6,8,6,8,4,4,8,8,9,6,2,6,5,5,5,6,9,5,5,9,10,8,8,9,4,7,5,10,6,5,2,7,8,7,7,5,4,8,7,8,7,10,1,1,1,1,1,1,1,1,0,1,1,9,7,8,9,9,9,8,8,9,75,30,70,76,,1,1,1,,1,,2,1,4,2,2,2,4,6,2,2,1,1,3,3,3,1,2,6,2,2,
471,20210501-shapefuture-a-session2-p,20210502-shapefuture-a-session2-r,4,10,4,9,8,3,1,8,7,3,0,10,4,8,9,10,7,8,10,8,9,7,8,8,9,10,7,10,10,9,2,3,2,1,9,6,3,10,4,3,10,9,5,6,6,6,5,10,8,8,8,7,8,8,8,10,4,6,4,7,5,8,5,1,2,9,8,7,6,9,1,1,1,1,0,1,1,1,1,1,1,9,6,7,8,9,9,7,10,9,29,12,21,37,,1,1,2,1,,,2,2,1,2,2,1,2,1,1,2,1,2,3,1,5,2,1,1,6,6,
472,20210501-shapefuture-a-session2-c,20210502-shapefuture-a-session2-p,6,7,8,4,4,7,7,5,8,4,2,8,2,9,8,8,8,5,7,7,7,7,7,9,8,7,4,6,7,7,4,5,2,1,8,4,7,5,5,4,7,9,5,7,6,7,7,8,5,8,7,7,5,6,2,9,4,3,1,3,4,2,6,2,3,7,6,7,9,9,1,1,1,1,1,1,0,1,1,1,1,8,4,6,7,3,6,10,7,9,40,40,30,45,,1,1,2,2,,,1,2,4,2,2,3,4,5,1,1,1,1,3,3,8,1,1,5,5,5,
473,20210501-shapefuture-a-session1-n,20210502-shapefuture-a-session1-m,6,10,10,8,10,10,10,10,8,5,7,5,6,6,8,9,10,9,9,7,8,9,10,9,10,9,9,8,9,8,7,6,4,3,8,10,10,8,1,3,4,5,6,6,9,9,7,10,10,8,9,8,5,6,5,9,5,7,6,8,8,8,8,3,3,10,7,7,10,10,1,1,1,1,1,1,0,1,1,0,1,9,4,8,7,8,8,8,10,9,70,20,65,60,,1,1,1,,2,,1,1,5,2,2,2,1,6,2,1,1,1,2,1,6,2,2,6,3,2,
474,20210501-shapefuture-a-session2-u,20210502-shapefuture-a-session2-s,8,9,5,1,1,1,2,2,4,1,3,8,6,8,4,7,6,0,6,2,7,8,7,6,8,10,8,10,10,4,5,8,5,3,5,1,3,5,8,3,9,7,7,7,9,2,2,9,9,9,9,2,10,10,10,10,6,6,0,10,3,9,3,1,4,7,7,7,10,10,1,1,1,0,1,1,0,1,1,1,1,10,8,10,9,4,5,9,10,9,58,65,75,62,,2,2,3,,,2,1,1,4,2,2,2,4,5,1,1,2,2,4,4,4,5,4,5,2,6,
475,20210501-shapefuture-a-session2-i,20210502-shapefuture-a-session2-c,3,7,7,9,4,10,9,10,3,7,1,6,7,7,10,9,10,0,5,,6,6,,8,9,9,9,9,9,10,0,5,6,5,10,10,10,7,,2,8,8,1,1,10,4,4,10,10,10,10,10,1,10,9,10,2,8,2,8,10,2,0,1,6,10,9,3,10,10,0,1,1,0,0,1,1,1,1,1,0,6,0,1,6,10,9,7,0,9,73,8,36,62,,1,1,1,,2,,1,1,3,2,2,2,1,5,1,1,1,1,2,1,6,5,1,5,0,0,
476,20210501-shapefuture-a-session2-e,20210502-shapefuture-a-session2-e,6,9,6,3,10,8,7,10,1,9,1,7,8,4,10,7,9,2,7,9,8,8,7,8,7,6,5,6,8,10,0,2,4,2,9,10,9,3,4,8,7,3,1,0,10,,,9,6,7,8,6,6,10,9,10,8,9,6,6,9,7,2,5,4,6,8,9,6,7,1,1,1,1,1,1,1,1,0,1,1,10,6,9,7,5,5,8,7,7,30,5,10,15,,1,1,2,1,,,2,2,1,2,2,2,5,5,1,1,1,2,2,1,8,5,3,5,2,3,
477,20210501-shapefuture-a-session1-d,20210502-shapefuture-a-session1-d,8,5,0,5,0,0,0,0,10,0,10,0,10,0,10,5,0,0,0,0,5,0,5,0,0,5,5,5,5,0,5,5,5,10,0,0,0,10,0,0,0,0,10,10,10,1,1,10,0,10,5,0,10,10,10,10,5,5,0,5,0,5,0,5,5,10,5,5,10,10,0,1,1,0,1,1,0,1,0,1,1,5,5,5,0,5,5,8,3,5,1,78,53,1,,1,1,2,3,,,1,1,6,2,2,3,4,1,1,1,1,1,6,4,8,7,2,1,5,5,
478,,,7,10,6,10,8,6,1,9,4,6,2,9,4,7,4,10,10,3,10,5,6,7,9,9,9,9,9,9,9,10,3,8,4,2,9,8,3,6,4,6,9,9,3,4,9,7,6,10,10,10,10,9,7,7,6,10,4,6,4,8,6,7,5,4,4,3,6,8,10,10,0,1,1,0,1,1,1,1,0,1,0,9,9,9,8,10,7,7,6,7,60,50,62,56,,1,1,2,2,,,1,1,3,2,2,2,4,,2,2,1,1,4,4,4,1,2,8,3,4,
479,20210501-shapefuture-b-session2-g,20210502-shapefuture-b-session2-c,6,7,8,10,10,10,3,10,3,10,1,10,8,5,9,10,10,1,10,10,6,6,7,10,9,1,,10,,10,3,0,5,0,9,10,7,0,0,10,2,1,3,0,10,3,2,8,9,1,10,10,0,2,7,9,6,7,2,9,9,6,4,3,8,9,2,9,9,10,1,1,1,1,1,1,0,1,1,1,1,10,4,2,9,4,10,10,6,7,71,10,30,82,,,,,,,,,1,3,2,2,1,,,,3,,2,,4,,,,,,3,
480,20210501-shapefuture-b-session1-e,20210502-shapefuture-b-session1-g,4,8,5,8,6,7,3,8,3,5,1,8,5,10,7,9,7,0,7,5,9,7,7,9,6,6,,6,8,8,2,5,3,2,7,7,7,5,2,0,7,10,2,2,9,4,5,5,9,8,8,6,,6,3,10,7,10,4,2,6,6,6,2,4,9,8,9,4,9,0,1,1,0,1,1,0,1,0,1,1,7,5,6,8,3,8,4,9,8,40,39,66,59,,1,2,2,2,,,1,1,1,2,2,1,4,,3,3,2,2,3,3,3,1,2,8,4,6,
481,20210501-shapefuture-b-session1-a,20210502-shapefuture-b-session1-d,6,9,9,6,6,9,3,9,3,6,2,9,0,10,9,9,9,4,9,9,9,5,8,8,7,7,2,2,6,9,2,1,2,2,5,7,5,4,4,5,7,10,5,5,8,4,1,8,8,8,9,7,6,8,2,8,7,6,2,7,8,8,2,1,3,8,6,9,2,10,1,1,1,1,0,1,1,1,0,1,1,10,4,8,9,5,9,7,6,9,32,3,12,21,,1,1,1,,2,,2,2,1,2,2,1,4,6,2,2,2,1,2,1,3,3,1,6,,3,
482,20210501-shapefuture-a-session2-t,20210502-shapefuture-a-session2-r,6,8,7,6,8,7,2,4,2,7,1,9,3,6,9,8,8,3,8,7,6,7,8,8,8,8,6,7,7,7,2,6,3,2,8,9,4,1,3,3,3,5,2,2,7,8,6,10,8,8,7,7,4,7,4,7,3,3,2,8,7,6,6,4,4,7,7,9,3,7,1,1,1,1,1,1,1,1,1,1,1,10,6,9,9,9,9,8,3,7,81,41,73,88,,1,1,2,1,,,1,2,1,2,2,1,1,7,1,1,2,2,3,3,8,5,2,7,2,2,
483,20210501-shapefuture-a-session1-b,20210502-shapefuture-a-session1-l,3,10,8,9,3,10,6,10,0,10,4,2,4,6,7,8,10,2,8,10,10,7,8,8,8,8,5,7,8,10,0,0,2,2,8,10,10,0,2,10,0,7,0,0,10,10,7,10,10,10,8,10,3,10,0,10,7,7,2,6,6,7,0,0,10,10,7,10,2,10,1,1,1,1,1,1,0,1,0,1,1,10,10,10,10,10,10,8,7,10,50,10,25,30,,1,1,1,,2,,1,2,1,2,2,1,1,5,1,1,1,1,2,1,8,4,2,5,0,0,
484,20210501-shapefuture-a-session2-j,,7,9,7,5,9,0,5,9,4,6,4,8,4,9,8,10,8,7,10,8,9,9,9,8,9,9,9,9,9,8,5,6,1,1,8,10,8,8,3,6,8,8,7,8,9,7,5,8,8,8,8,6,7,6,6,8,3,5,3,6,8,6,3,0,4,7,6,10,4,10,0,1,1,0,1,1,0,1,0,0,1,10,8,8,8,5,7,5,4,6,53,56,46,54,,1,1,2,3,,,1,1,3,2,2,2,1,1,2,2,1,1,3,3,5,5,3,1,5,6,
485,20210501-shapefuture-a-session2-m,20210502-shapefuture-a-session2-c,1,10,10,7,0,10,10,10,0,10,0,10,0,8,10,10,10,0,10,10,10,,,10,10,10,0,2,4,10,0,0,0,0,10,10,10,0,0,10,10,8,0,0,10,10,,10,10,10,10,10,0,10,0,10,8,10,10,1,3,2,2,0,10,10,10,10,5,10,1,1,1,1,1,1,1,1,0,1,1,4,0,4,6,6,10,5,2,5,10,1,5,7,,1,1,2,4,,,1,2,1,2,2,1,4,7,1,1,1,1,2,1,8,7,4,7,,,
486,20210501-shapefuture-a-session1-l,20210502-shapefuture-a-session1-j,7,9,9,9,6,10,5,10,8,9,9,8,6,9,10,10,10,0,9,9,8,3,5,6,7,10,6,10,7,10,6,4,0,1,8,10,10,5,9,9,9,10,9,9,10,7,7,10,10,10,10,10,7,9,0,10,5,5,3,9,1,0,7,10,3,10,7,8,10,10,1,1,1,0,1,1,0,1,0,0,0,10,7,9,10,5,10,8,10,9,80,10,85,80,,2,2,1,,1,,2,2,1,2,2,3,4,,2,2,1,1,4,4,3,2,1,8,0,1,
487,,,4,10,6,3,7,0,5,6,3,3,0,7,5,10,7,8,8,0,7,8,10,10,10,10,10,10,,10,10,10,1,3,1,1,8,,5,8,6,2,5,6,2,1,10,3,8,8,9,9,9,8,5,8,2,9,3,8,3,2,7,9,3,7,5,9,6,7,3,10,1,1,1,0,1,1,1,1,1,0,1,10,3,4,10,6,8,9,5,9,62,41,50,82,,1,1,1,,2,,2,1,1,2,2,1,4,1,2,2,1,1,4,4,1,0,4,1,4,5,
488,,,4,10,7,5,8,6,3,8,0,10,3,4,1,10,7,8,7,4,8,8,8,8,8,10,10,10,9,9,9,10,2,6,2,2,6,9,6,4,0,6,3,7,0,0,10,,6,8,8,7,7,8,5,6,6,7,7,8,6,4,5,6,5,6,6,8,6,5,4,10,1,1,1,1,1,1,0,1,1,1,1,7,4,6,4,5,4,9,8,6,71,0,60,70,,1,1,1,,1,,1,1,3,2,2,1,4,6,2,1,1,1,2,1,8,3,3,6,1,1,
489,20210501-shapefuture-a-session2-v,20210502-shapefuture-a-session2-l,4,8,7,7,10,5,1,10,0,10,0,5,10,,10,10,10,0,10,,7,1,,8,8,8,5,,5,8,2,3,0,0,8,10,2,2,0,10,9,,0,0,10,5,1,10,3,7,9,10,5,9,7,10,8,5,1,5,8,1,1,3,8,10,10,8,9,10,1,1,1,1,0,1,0,1,0,0,1,10,2,10,9,7,10,10,8,10,90,20,50,95,,1,1,1,,2,,1,1,5,2,2,3,5,3,1,1,1,1,5,5,7,1,4,3,2,3,
490,20210501-shapefuture-a-session1-a,20210502-shapefuture-a-session1-d,7,7,2,3,7,2,0,6,3,3,0,8,4,7,7,6,6,1,7,,6,,,6,8,9,5,7,10,4,1,7,2,1,7,8,1,8,4,4,9,7,4,,5,2,2,8,7,7,7,7,6,6,5,7,8,7,7,10,2,7,2,0,4,7,8,8,3,10,1,1,1,1,1,1,1,1,0,1,1,9,3,4,3,3,6,7,5,6,60,40,45,70,,1,1,3,,,2,1,2,5,2,2,1,1,,1,1,1,2,2,1,8,0,4,8,7,6,
491,20210501-shapefuture-a-session2-n,20210502-shapefuture-a-session2-k,8,8,6,7,9,7,1,10,2,8,3,8,7,5,9,9,6,5,7,5,,8,7,5,6,8,9,10,8,10,2,5,4,5,9,5,8,5,6,4,6,7,2,1,10,7,5,9,9,9,7,8,5,8,5,8,5,5,5,5,5,5,5,5,5,5,5,5,5,9,1,0,1,0,0,0,0,1,0,0,1,10,9,10,9,8,9,7,6,10,76,45,51,73,,1,1,2,4,,,2,1,1,2,2,1,4,,2,2,1,1,3,3,3,2,3,8,5,,
492,20210501-shapefuture-a-session1-j,20210502-shapefuture-a-session1-i,6,10,10,8,5,10,7,10,3,8,5,7,5,8,10,10,10,4,10,10,8,8,8,7,7,7,7,7,7,8,2,5,4,3,8,7,9,2,0,8,6,7,3,2,10,6,6,10,10,7,10,10,5,7,3,10,8,10,6,3,10,7,3,4,5,10,10,10,4,10,1,1,1,0,1,1,0,1,0,1,1,10,9,10,10,0,9,10,10,9,62,12,54,62,,1,1,1,,1,,2,1,5,2,2,1,4,6,1,1,1,1,3,3,8,4,2,6,1,2,
493,20210501-shapefuture-a-session2-b,20210502-shapefuture-a-session2-d,3,9,9,8,10,7,2,10,2,3,2,8,3,7,10,8,10,5,9,5,7,8,5,8,9,8,3,5,5,9,2,10,3,2,9,10,10,4,2,5,8,6,2,2,10,5,5,10,10,7,7,6,5,6,3,10,8,8,5,5,8,7,3,2,4,7,6,7,10,10,1,1,1,0,1,1,0,0,0,0,1,10,10,10,10,8,10,10,10,10,43,32,33,46,,1,1,2,1,,,1,1,1,2,2,2,4,6,2,2,2,2,4,3,6,1,1,6,2,1,
494,20210501-shapefuture-a-session2-e,20210502-shapefuture-a-session2-i,6,8,7,7,2,9,8,9,1,8,2,5,1,9,9,9,9,1,8,9,6,6,6,7,7,7,7,8,8,8,2,8,5,5,8,8,8,2,2,7,5,8,2,1,8,6,3,8,9,9,9,9,5,9,6,9,8,8,2,9,7,9,7,2,4,9,8,9,9,9,1,1,1,1,1,1,1,1,1,1,1,10,5,9,10,9,10,10,9,10,69,22,48,58,,2,2,1,,1,,1,1,3,2,2,2,4,4,2,1,2,1,5,5,6,3,2,4,3,3,
495,20210501-shapefuture-a-session2-n,20210502-shapefuture-a-session2-t,3,10,10,10,5,10,7,10,1,9,3,10,10,0,10,10,10,10,8,8,9,5,8,8,10,6,3,10,10,10,2,5,0,0,10,7,10,7,0,8,10,0,3,2,10,9,9,10,10,10,10,10,3,10,1,10,10,10,10,0,9,3,2,0,8,10,10,10,7,10,1,1,1,1,0,1,1,1,1,1,1,10,2,9,10,10,10,9,9,10,75,0,50,65,,1,1,1,,1,,1,1,4,2,2,2,4,1,1,1,1,1,2,3,8,6,3,1,0,0,
496,20210501-shapefuture-a-session2-q,20210502-shapefuture-a-session2-s,4,7,7,5,7,8,10,10,3,7,0,7,1,9,8,10,8,6,7,7,8,9,9,10,10,10,4,5,8,7,3,4,4,4,10,10,10,7,0,6,10,7,3,2,10,7,8,10,10,10,10,10,9,9,0,10,8,7,2,4,8,8,4,3,4,7,7,8,7,10,0,1,1,1,1,1,1,1,0,1,1,8,4,6,7,8,7,6,5,7,27,10,20,30,,1,1,1,,2,,1,2,1,2,2,2,4,7,2,2,1,2,2,1,2,0,3,7,2,2,
497,20210501-shapefuture-a-session2-r,,6,9,10,10,10,10,10,6,2,2,2,7,2,8,8,9,9,3,6,6,8,8,8,7,10,10,8,9,9,6,3,7,3,3,10,7,5,5,2,2,6,7,5,5,10,1,5,10,10,10,6,10,6,6,8,10,6,7,2,8,7,7,5,2,4,9,9,9,9,9,1,1,1,0,1,1,0,1,0,1,1,10,6,10,10,10,10,8,9,7,65,20,71,76,,1,1,1,,1,,1,1,1,2,2,2,4,7,1,1,1,1,2,1,7,5,3,7,4,3,
498,20210501-shapefuture-a-session2-q,20210502-shapefuture-a-session2-o,4,9,8,10,7,9,5,8,1,6,0,8,0,10,6,8,10,4,7,9,8,3,7,7,8,9,3,10,7,10,3,2,4,3,8,10,8,3,0,5,7,10,1,0,8,3,6,9,9,10,8,9,6,9,5,9,2,3,0,5,4,0,4,4,2,8,7,9,3,10,1,1,1,1,1,1,1,1,0,1,1,10,7,8,8,10,9,6,9,9,55,20,30,70,,1,1,2,1,,,1,2,1,2,2,2,4,7,1,1,2,1,2,1,8,3,3,7,2,2,
499,20210501-shapefuture-b-session1-f,20210502-shapefuture-b-session1-a,4,10,3,3,3,6,2,9,0,10,0,7,4,7,10,7,6,0,8,5,5,5,6,8,7,7,7,7,7,9,4,0,5,4,7,6,5,5,4,6,8,8,3,4,10,4,4,10,5,5,5,5,5,10,5,10,,,,,10,,5,0,3,6,7,7,,,0,1,1,1,0,1,1,1,1,0,1,10,0,10,6,4,5,6,10,7,50,50,50,50,,2,2,2,2,,,1,2,4,2,2,3,4,,4,4,4,4,4,4,2,0,5,8,,5,
500,20210501-shapefuture-b-session1-a,20210502-shapefuture-b-session1-b,3,9,,10,8,0,10,10,0,10,10,0,0,10,10,10,10,0,10,10,10,10,10,10,0,0,10,10,10,10,0,0,0,0,10,5,10,0,0,10,0,10,0,0,10,10,7,10,10,10,10,10,6,10,6,10,,,,10,10,,0,5,10,10,5,10,5,,1,1,1,0,0,1,0,1,0,1,1,10,7,10,10,10,10,10,10,10,0,0,0,0,,,,,,,,,2,2,2,2,3,,,,2,,2,,4,,,,,,,
501,20210501-shapefuture-b-session1-c,20210502-shapefuture-b-session1-b,5,10,5,6,4,5,3,6,3,6,3,6,3,6,,,,,,,,,,10,10,10,10,10,10,5,3,3,3,3,6,5,,5,,6,6,6,5,4,9,,,6,6,7,7,7,5,6,6,10,5,6,3,7,7,7,5,6,4,7,7,5,10,10,0,0,1,0,1,1,0,1,0,0,1,10,6,7,10,10,10,10,5,7,50,50,50,60,,,,,,,,,2,6,2,2,2,,,,1,,1,,4,,,,,,,
502,20210501-shapefuture-b-session1-b,20210502-shapefuture-b-session1-d,5,10,7,9,7,8,7,9,0,10,2,9,1,10,10,10,10,0,10,,10,10,10,10,8,6,6,8,7,10,1,5,2,2,10,10,10,7,,9,9,9,0,0,10,,,10,10,8,8,10,,9,2,10,9,9,4,5,9,5,2,5,6,10,10,8,5,10,0,1,1,1,1,1,1,0,1,1,1,10,7,10,10,,10,10,10,10,48,6,51,49,,1,1,1,,2,,1,1,1,2,2,1,4,3,2,2,1,1,4,5,3,6,1,3,,2,
503,20210501-shapefuture-a-session1-n,20210502-shapefuture-a-session1-b,3,9,,2,5,2,0,7,2,8,2,2,6,8,7,7,6,1,5,7,7,8,8,7,2,2,0,0,0,6,3,1,5,7,8,8,3,6,2,7,2,8,2,1,8,3,3,6,8,9,9,6,9,7,7,8,6,8,8,2,8,8,2,8,8,5,7,6,7,10,0,0,1,0,1,1,0,1,0,1,0,10,10,10,10,10,10,10,10,10,57,14,30,51,,1,1,1,,2,,1,2,2,2,2,2,5,6,2,2,2,2,3,3,4,2,2,6,5,5,
504,,20210502-shapefuture-a-session1-p,2,10,4,10,4,10,4,10,0,10,0,10,0,10,10,10,6,0,10,7,10,8,8,10,10,10,3,8,7,10,0,0,6,5,10,10,10,3,0,10,10,10,0,0,10,10,10,10,10,10,10,10,0,10,0,10,8,10,7,4,6,10,4,0,7,10,10,10,0,10,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,6,10,10,0,7,10,,1,1,1,,1,,1,1,1,2,2,2,1,6,1,1,1,1,2,1,8,7,2,6,0,0,
505,20210501-shapefuture-a-session2-s,20210502-shapefuture-a-session2-m,6,10,8,10,8,10,7,10,3,8,10,5,4,7,10,7,10,5,9,9,8,6,6,8,7,6,4,5,5,8,1,7,3,2,9,9,8,1,0,7,3,7,1,4,10,8,9,10,9,5,7,10,3,7,1,9,2,7,2,6,7,6,4,3,6,10,9,10,8,7,0,1,1,1,1,1,1,1,0,0,1,7,4,7,8,4,8,8,5,8,65,23,74,58,,1,1,1,,2,,1,1,3,2,2,2,4,7,2,2,2,1,2,3,4,2,3,7,3,3,
506,20210501-shapefuture-a-session2-b,20210502-shapefuture-a-session2-d,6,10,9,7,8,10,8,10,2,8,0,9,6,6,10,10,10,,10,6,8,8,9,10,10,10,10,10,10,10,3,3,0,0,9,9,8,7,,9,9,4,1,0,10,9,9,10,10,9,10,9,8,7,5,10,1,1,1,7,1,5,1,7,7,10,10,9,10,10,1,1,1,0,1,1,1,1,0,1,1,9,7,9,7,6,10,10,7,9,80,50,40,70,,1,1,2,1,,,1,1,4,2,2,2,4,,2,2,1,1,4,4,3,3,4,8,3,3,
507,20210501-shapefuture-a-session2-e,20210502-shapefuture-a-session2-j,6,10,7,8,9,7,9,10,0,10,0,8,1,7,9,8,10,5,8,6,9,7,4,10,9,8,10,10,10,9,4,9,2,2,8,10,6,5,1,8,7,7,1,0,10,7,9,10,10,9,9,9,6,8,3,10,7,8,2,10,9,8,4,2,2,10,5,10,7,10,1,1,1,1,1,1,1,1,1,1,1,10,7,10,10,9,10,9,8,10,85,25,75,80,,1,1,1,,1,,2,1,1,2,2,1,1,1,1,1,1,1,6,5,6,7,1,1,2,2,
508,20210501-shapefuture-a-session2-d,20210502-shapefuture-a-session2-p,7,10,5,9,3,7,6,10,0,10,8,8,4,6,8,7,7,4,7,7,7,7,7,7,7,7,7,7,8,10,3,2,2,3,3,8,7,3,1,8,6,7,2,2,8,8,8,8,8,7,8,10,7,9,2,10,6,8,7,10,6,6,2,3,4,9,10,10,6,10,1,1,1,1,1,1,1,1,0,0,1,10,6,7,8,8,7,6,8,8,75,28,22,78,,1,1,1,,1,,1,2,1,2,2,2,1,3,2,2,2,2,5,4,3,2,4,3,2,2,
509,20210501-shapefuture-a-session2-j,20210502-shapefuture-a-session2-j,3,10,5,10,10,5,2,0,0,10,0,10,0,10,8,10,10,0,7,0,6,0,0,10,10,10,10,10,10,10,2,2,0,0,7,10,0,0,0,10,10,10,10,0,10,10,10,10,10,7,5,10,6,5,3,10,6,10,3,10,7,7,2,0,7,10,7,10,2,10,1,1,1,1,1,1,0,1,0,1,1,8,2,7,9,10,10,7,8,10,86,0,30,95,,1,1,1,,1,,1,2,3,2,2,1,1,3,1,1,1,1,3,3,8,7,4,3,0,0,
510,20210501-shapefuture-a-session2-k,20210502-shapefuture-a-session2-k,8,3,3,7,7,0,0,3,6,1,1,8,3,9,6,10,8,3,7,4,8,9,9,6,8,9,3,7,8,5,4,8,1,0,8,2,0,8,7,1,7,9,7,9,4,3,4,10,7,10,10,7,7,3,1,8,2,3,6,8,1,2,6,8,3,7,8,9,9,10,1,1,1,1,1,1,1,1,1,1,1,10,2,6,7,7,9,7,3,5,30,71,23,31,,1,1,3,,,2,1,2,1,2,2,2,4,6,3,3,1,1,2,1,1,1,2,6,8,7,
511,20210501-shapefuture-b-session1-b,20210502-shapefuture-b-session1-a,6,5,3,7,3,2,0,5,5,0,5,5,5,7,4,8,6,1,7,5,6,6,7,10,10,10,0,6,6,0,6,6,4,4,6,5,7,8,6,0,7,6,5,10,8,0,0,8,6,10,10,4,6,6,5,10,0,5,0,0,5,5,0,10,10,7,5,6,7,10,1,1,1,0,1,1,1,1,0,0,1,10,7,10,10,10,10,8,10,9,21,45,50,15,,1,1,3,,,2,1,2,1,2,2,2,4,1,2,2,2,2,4,4,3,0,2,1,5,6,
512,20210501-shapefuture-b-session2-c,20210502-shapefuture-b-session2-e,4,8,9,9,6,9,7,10,1,10,1,10,1,9,5,8,9,2,9,6,7,8,5,9,9,8,10,9,9,9,2,9,4,3,9,9,9,6,1,9,9,9,2,4,10,7,7,9,9,8,8,9,7,7,1,9,5,6,4,8,5,8,7,2,4,8,8,9,3,9,1,1,1,1,1,1,1,1,1,1,1,8,7,8,9,7,9,8,5,9,73,29,59,64,,1,1,1,,2,,1,1,1,2,2,2,3,3,3,2,1,1,5,5,2,3,2,3,3,3,
513,20210501-shapefuture-b-session2-f,20210502-shapefuture-b-session2-b,6,9,10,7,7,10,8,10,0,10,0,10,5,10,10,10,10,0,10,10,10,10,10,10,5,5,10,10,10,9,0,6,0,0,10,10,10,,0,6,10,10,0,3,10,0,0,10,10,10,10,10,0,10,6,10,0,7,1,10,10,10,5,1,1,10,7,10,1,10,1,1,1,0,1,1,0,1,1,1,1,10,6,10,10,7,5,10,10,8,71,0,70,70,,1,1,1,,1,,1,1,1,2,2,1,4,2,2,2,1,1,4,4,4,3,1,2,2,3,
514,20210501-shapefuture-b-session2-e,20210502-shapefuture-b-session2-e,5,8,4,8,7,7,2,8,5,0,0,8,0,10,7,7,7,0,6,7,6,5,6,6,5,3,6,6,2,6,2,6,2,1,10,8,4,3,1,0,10,10,4,4,7,3,2,7,8,8,8,8,5,9,7,9,5,8,4,9,5,6,5,2,6,10,8,8,4,10,0,1,1,0,1,1,1,1,1,1,1,8,2,7,9,5,7,10,7,8,70,30,60,50,,1,1,1,,1,,1,1,1,2,2,2,1,5,3,2,2,1,5,5,3,3,2,5,3,3,
515,20210501-shapefuture-a-session2-d,20210502-shapefuture-a-session2-n,4,3,2,6,7,3,3,7,9,2,8,4,3,9,6,4,3,2,3,7,7,7,8,5,2,1,9,9,10,6,5,2,6,5,7,9,7,2,5,3,3,6,7,8,5,3,2,8,4,9,5,6,7,8,6,10,4,5,3,6,7,8,4,7,8,7,8,7,5,10,1,1,1,1,1,1,1,1,0,1,1,8,3,7,9,5,7,6,3,6,31,21,19,85,,1,1,1,,2,,1,2,1,2,2,1,1,4,1,1,3,3,4,5,8,7,2,4,6,7,
